timeSeries,Azimuth (rad),Range (m)
3840,1.180716453,133938.6023
3850,1.19129966,134662.5645
3860,1.208640612,135451.06
3870,1.212623871,135945.3531
3880,1.225313355,136600.9403
3890,1.229705078,137294.2371
3900,1.253301954,137960.3982
3910,1.24608285,138695.2283
3920,1.25710848,139454.7794
3930,1.263316009,140005.002
3940,1.274040944,140800.6295
3950,1.263413656,141597.3621
3960,1.271515649,142256.6366
3970,1.28070953,142956.9321
3980,1.295949849,143749.2998
3990,1.285197634,144541.6941
4000,1.296991398,144372.7696
4010,1.289242656,145212.2016
4020,1.326366173,146033.6688
4030,1.319602699,146716.8906
4040,1.320076191,147668.9268
4050,1.332072785,148334.0528
4060,1.313896698,149539.5264
4070,1.346745072,150251.2407
4080,1.351196128,151209.2089
4090,1.334655051,152260.2854
4100,1.358201914,153251.7114
4110,1.363550552,154016.3324
4120,1.358625607,155333.6723
4130,1.363570271,156159.5996
4140,1.373726745,157462.207
4150,1.386239207,158511.6486
4160,1.370450661,159608.9837
4170,1.384856531,160582.1629
4180,1.382571859,161562.1993
4190,1.385443313,162806.2179
4200,1.382259911,163897.0895
4210,1.384403751,165193.4578
4220,1.382299904,166412.4869
4230,1.383621149,167523.3631
4240,1.384300469,168747.5095
4250,1.394185904,169734.9256
4260,1.385082122,171167.7567
4270,1.381616612,172473.6929
4280,1.389432848,173407.6211
4290,1.38688555,174645.1853
4300,1.386799799,175933.1566
4310,1.382193528,177133.9798
4320,1.39369521,178433.3029
4330,1.395443646,179390.9999
4340,1.39057632,180577.7948
4350,1.395617977,181696.6582
4360,1.394798173,182934.7905
4370,1.399767071,184329.6352
4380,1.3907256,185447.0683
4390,1.379765839,186701.2269
4400,1.383788743,187964.3476
4410,1.38837362,188956.1504
4420,1.382250112,190245.8689
4430,1.382448234,191191.1705
4440,1.383877848,192384.1208
4450,1.362941745,193401.4515
4460,1.369481473,194691.253
4470,1.36011406,195780.9508
4480,1.382389671,196727.5317
4490,1.368114383,197934.909
4500,1.359992593,198014.6116
4510,1.356743078,199110.7592
4520,1.376442437,199980.3505
4530,1.355724105,201233.5517
4540,1.377111138,202302.3895
4550,1.356744703,203405.3997
4560,1.357165551,204556.9116
4570,1.347935266,205552.7242
4580,1.349657107,206772.2038
4590,1.340507634,207679.9582
4600,1.344406193,208674.3034
4610,1.339397437,209882.4003
4620,1.341557476,210860.7999
4630,1.325676813,212007.2975
4640,1.337676639,213318.8721
4650,1.331742788,214282.7522
4660,1.328442076,215433.2299
4670,1.339420703,216438.3181
4680,1.349495471,217478.7507
4690,1.328961582,218699.7422
4700,1.329899109,219856.2874
4710,1.314678191,220957.602
4720,1.333564306,222113.9426
4730,1.316274646,222979.885
4740,1.320736487,224271.5665
4750,1.287026487,225224.5592
4760,1.305917701,226425.9942
4770,1.311030342,227332.2975
4780,1.315575472,228630.351
4790,1.309880856,229827.4493
4800,1.293267191,230871.4907
4810,1.295576655,232029.881
4820,1.287534685,233162.2127
4830,1.299720541,234200.6788
4840,1.290588429,235333.0449
4850,1.302108612,236576.6346
4860,1.293345043,237774.4571
4870,1.29845466,238602.6823
4880,1.27912385,239720.3269
4890,1.294263348,241000.3562
4900,1.26908005,241871.3376
4910,1.292828015,243245.6548
4920,1.273469649,244203.821
4930,1.271843194,245319.2349
4940,1.27914259,246478.8396
4950,1.278775226,247611.3195
4960,1.286082477,248752.528
4970,1.273684131,249792.4534
4980,1.273929645,250964.5457
4990,1.263500935,252131.5705
