timeSeries,Azimuth (rad),Range (m),Speed (m/s),Heading (rad)
4490,1.369831629,197943.6089,120,0.918155953
4500,1.369831629,197943.6089,120,0.918155953
4510,1.36719994,199023.9585,120,0.918155953
4520,1.364596686,200105.6716,120,0.918155953
4530,1.362021442,201188.7262,120,0.918155953
4540,1.359473793,202273.1007,120,0.918155953
4550,1.356953331,203358.7741,120,0.918155953
4560,1.354459652,204445.7257,120,0.918155953
4570,1.351992365,205533.9352,120,0.918155953
4580,1.349551081,206623.3826,120,0.918155953
4590,1.34713542,207714.0486,120,0.918155953
4600,1.344745009,208805.914,120,0.918155953
4610,1.34237948,209898.9601,120,0.918155953
4620,1.340038473,210993.1686,120,0.918155953
4630,1.337721635,212088.5215,120,0.918155953
4640,1.335428617,213185.0011,120,0.918155953
4650,1.333159078,214282.5901,120,0.918155953
4660,1.330912681,215381.2716,120,0.918155953
4670,1.328689098,216481.029,120,0.918155953
4680,1.326488003,217581.8459,120,0.918155953
4690,1.324309078,218683.7063,120,0.918155953
4700,1.322152012,219786.5945,120,0.918155953
4710,1.320016495,220890.4952,120,0.918155953
4720,1.317902226,221995.3932,120,0.918155953
4730,1.315808908,223101.2738,120,0.918155953
4740,1.313736249,224208.1223,120,0.918155953
4750,1.311683963,225315.9245,120,0.918155953
4760,1.309651767,226424.6665,120,0.918155953
4770,1.307639385,227534.3344,120,0.918155953
4780,1.305646543,228644.9148,120,0.918155953
4790,1.303672976,229756.3945,120,0.918155953
4800,1.301718419,230868.7604,120,0.918155953
4810,1.299782613,231981.9999,120,0.918155953
4820,1.297865305,233096.1004,120,0.918155953
4830,1.295966245,234211.0496,120,0.918155953
4840,1.294085186,235326.8355,120,0.918155953
4850,1.292221888,236443.4462,120,0.918155953
4860,1.290376112,237560.8701,120,0.918155953
4870,1.288547625,238679.0957,120,0.918155953
4880,1.286736198,239798.1119,120,0.918155953
4890,1.284941603,240917.9076,120,0.918155953
4900,1.28316362,242038.4721,120,0.918155953
4910,1.28140203,243159.7946,120,0.918155953
4920,1.279656617,244281.8647,120,0.918155953
4930,1.277927171,245404.6723,120,0.918155953
4940,1.276213483,246528.2072,120,0.918155953
4950,1.27451535,247652.4594,120,0.918155953
4960,1.272832569,248777.4194,120,0.918155953
4970,1.271164944,249903.0775,120,0.918155953
4980,1.269512279,251029.4244,120,0.918155953
4990,1.267874382,252156.4507,120,0.918155953
